agegrp,node,start,fromcond,tocond,pr,next
3,"(1,1)",5,nil,mild,0.8,"(2,2)"
3,"(1,1)",5,nil,sick,0.2,"(2,3)"
3,"(2,2)",9,mild,mild,1.0,"(3,2)"
3,"(2,3)",9,sick,sick,0.8,"(3,3)"
3,"(2,3)",9,sick,severe,0.2,"(3,4)"
3,"(3,2)",14,mild,recovered,1.0,"(0,0)"
3,"(3,3)",14,sick,recovered,0.7,"(0,0)"
3,"(3,3)",14,sick,severe,0.3,"(4,4)"
3,"(3,4)",14,severe,recovered,0.3,"(0,0)"
3,"(3,4)",14,severe,severe,0.6,"(4,4)"
3,"(3,4)",14,severe,dead,0.1,"(0,5)"
3,"(4,4)",19,severe,recovered,0.9,"(0,0)"
3,"(4,4)",19,severe,dead,0.1,"(0,5)"
