agegrp,node,fromcond,tocond,pr,next
1,"(1,1)",nil,mild,0.85,"(2,2)"
1,"(1,1)",nil,sick,0.15,"(2,3)"
1,"(2,2)",mild,mild,1.0,"(3,2)"
1,"(2,3)",sick,sick,0.85,"(3,3)"
1,"(2,3)",sick,severe,0.15,"(3,4)"
1,"(3,2)",mild,recovered,1.0,"(0,0)"
1,"(3,3)",sick,recovered,0.85,"(0,0)"
1,"(3,3)",sick,severe,0.15,"(4,4)"
1,"(3,4)",severe,recovered,0.45,"(0,0)"
1,"(3,4)",severe,severe,0.5,"(4,4)"
1,"(3,4)",severe,dead,0.05,"(0,0)"
1,"(4,4)",severe,recovered,0.9,"(0,0)"
1,"(4,4)",severe,dead,0.1,"(0,0)"
# Dead probability:  0.00495
# Rec probability:   0.9958375
# agegrp 1
