agegrp,node,fromcond,tocond,pr,next
3,"(1,1)",nil,mild,0.8,"(2,2)"
3,"(1,1)",nil,sick,0.2,"(2,3)"
3,"(2,2)",mild,mild,1.0,"(3,2)"
3,"(2,3)",sick,sick,0.8,"(3,3)"
3,"(2,3)",sick,severe,0.2,"(3,4)"
3,"(3,2)",mild,recovered,1.0,"(0,0)"
3,"(3,3)",sick,recovered,0.7,"(0,0)"
3,"(3,3)",sick,severe,0.3,"(4,4)"
3,"(3,4)",severe,recovered,0.3,"(0,0)"
3,"(3,4)",severe,severe,0.6,"(4,4)"
3,"(3,4)",severe,dead,0.1,"(0,0)"
3,"(4,4)",severe,recovered,0.9,"(0,0)"
3,"(4,4)",severe,dead,0.1,"(0,0)"
# Dead probability:  0.0136
# Rec probability:   0.9888
# agegrp 3
