agegrp,node,start,fromcond,tocond,pr,next
5,"(1,1)",5,nil,mild,0.75,"(2,2)"
5,"(1,1)",5,nil,sick,0.25,"(2,3)"
5,"(2,2)",9,mild,mild,1.0,"(3,2)"
5,"(2,3)",9,sick,sick,0.75,"(3,3)"
5,"(2,3)",9,sick,severe,0.25,"(3,4)"
5,"(3,2)",14,mild,recovered,1.0,"(0,0)"
5,"(3,3)",14,sick,recovered,0.75,"(0,0)"
5,"(3,3)",14,sick,severe,0.25,"(4,4)"
5,"(3,4)",14,severe,recovered,0.125,"(0,0)"
5,"(3,4)",14,severe,severe,0.75,"(4,4)"
5,"(3,4)",14,severe,dead,0.125,"(0,5)"
5,"(4,4)",19,severe,recovered,0.75,"(0,0)"
5,"(4,4)",19,severe,dead,0.25,"(0,5)"
# Dead probability:  0.03125
# Rec probability:   0.96875
# agegrp 5
